fwhm	896.7896389624932-20°C	896.7896389624932-30°C	896.7896389624932-40°C	896.7896389624932-50°C	896.7896389624932-60°C	896.7896389624932-70°C
1.932520761000000130e+04	1.538727474333611168e-03	1.709101735365351491e-03	2.056287606418664808e-03	2.246754997552105268e-03	3.672683433361547106e-03	6.896691970472223349e-03
1.931551367000000027e+04	1.597477527724858746e-03	1.773054642002686943e-03	2.130463157410450968e-03	2.326358841468316192e-03	3.789605014658031009e-03	7.084471958327487849e-03
1.930582977000000028e+04	1.658193382859321366e-03	1.839100622012137956e-03	2.206969263140703269e-03	2.408414576276098670e-03	3.909712284439966455e-03	7.276505900194207323e-03
1.929615587999999843e+04	1.720930327114530414e-03	1.907297186859845377e-03	2.285867125075306469e-03	2.492985235212393912e-03	4.033075901373354109e-03	7.472868030935892435e-03
1.928649198999999862e+04	1.785744745164310598e-03	1.977702967686986984e-03	2.367219075304078778e-03	2.580134993506756885e-03	4.159767525516388197e-03	7.673633152662916179e-03
1.927683809000000110e+04	1.852694260800881324e-03	2.050377870607622815e-03	2.451088755731194342e-03	2.669929361012634422e-03	4.289860088531920884e-03	7.878877048467085656e-03
1.926719414999999935e+04	1.921837906480728612e-03	2.125383261779422144e-03	2.537541330633722586e-03	2.762435410094338413e-03	4.423428109542298058e-03	8.088676956615735783e-03
1.925756017000000065e+04	1.993235796085859879e-03	2.202781613746631218e-03	2.626643078283959296e-03	2.857721339139117529e-03	4.560547050490477115e-03	8.303110533314181710e-03
1.924793612999999823e+04	2.066949504180421154e-03	2.282636918714600702e-03	2.718461867303914592e-03	2.955856983164081592e-03	4.701294040850680436e-03	8.522256969857425896e-03
1.923832200999999986e+04	2.143041958170545987e-03	2.365014573431205216e-03	2.813067023576754522e-03	3.056913672135914278e-03	4.845747657348715466e-03	8.746196618706184728e-03
1.922871779999999853e+04	2.221577385451898017e-03	2.449981324450263478e-03	2.910529267847786292e-03	3.160964165512566808e-03	4.993987816852703612e-03	8.975010803358014072e-03
