Wavenumber	30C-20C	40C-20C	40C-30C	50C-20C	50C-30C	50C-40C	60C-20C	60C-30C	60C-40C	60C-50C	70C-20C	70C-30C	70C-40C	70C-50C	70C-60C
1.390302639000000090e+04	-9.799999999999999684e-04	2.219999999999999751e-03	3.199999999999999720e-03	3.449999999999999942e-03	4.429999999999999910e-03	1.230000000000000190e-03	1.179999999999999973e-02	1.277999999999999969e-02	9.579999999999999974e-03	8.349999999999999784e-03	2.222999999999999976e-02	2.320999999999999799e-02	2.001000000000000001e-02	1.877999999999999808e-02	1.042999999999999830e-02
1.389813464999999997e+04	-1.059999999999998443e-03	2.129999999999999949e-03	3.189999999999998392e-03	3.750000000000001596e-03	4.810000000000000039e-03	1.620000000000001647e-03	1.154999999999999950e-02	1.260999999999999795e-02	9.419999999999999554e-03	7.799999999999997907e-03	2.194000000000000117e-02	2.299999999999999961e-02	1.981000000000000122e-02	1.818999999999999784e-02	1.038999999999999993e-02
1.389324649999999929e+04	-1.040000000000000993e-03	2.009999999999999634e-03	3.050000000000000627e-03	3.989999999999998756e-03	5.029999999999999749e-03	1.979999999999999122e-03	1.128000000000000010e-02	1.232000000000000109e-02	9.270000000000000462e-03	7.290000000000001340e-03	2.147999999999999909e-02	2.252000000000000182e-02	1.947000000000000119e-02	1.749000000000000207e-02	1.020000000000000073e-02
1.388836195000000043e+04	-9.199999999999989436e-04	1.910000000000000239e-03	2.829999999999999183e-03	4.170000000000000095e-03	5.089999999999999039e-03	2.259999999999999856e-03	1.106999999999999998e-02	1.198999999999999892e-02	9.159999999999999740e-03	6.899999999999999883e-03	2.088999999999999885e-02	2.180999999999999606e-02	1.897999999999999687e-02	1.671999999999999875e-02	9.819999999999998869e-03
1.388348099999999977e+04	-7.299999999999997463e-04	1.879999999999999727e-03	2.609999999999999473e-03	4.300000000000000003e-03	5.029999999999999749e-03	2.420000000000000276e-03	1.098000000000000018e-02	1.170999999999999992e-02	9.100000000000000450e-03	6.680000000000000174e-03	2.026999999999999982e-02	2.099999999999999784e-02	1.839000000000000010e-02	1.596999999999999809e-02	9.289999999999999647e-03
1.387860362999999961e+04	-5.100000000000000366e-04	1.929999999999999424e-03	2.439999999999999461e-03	4.359999999999999293e-03	4.869999999999999329e-03	2.429999999999999868e-03	1.101000000000000069e-02	1.152000000000000073e-02	9.080000000000001265e-03	6.650000000000001396e-03	1.967999999999999611e-02	2.018999999999999961e-02	1.774999999999999842e-02	1.531999999999999855e-02	8.669999999999997153e-03
1.387372984999999971e+04	-2.800000000000007344e-04	2.080000000000000251e-03	2.360000000000000986e-03	4.369999999999998885e-03	4.649999999999999620e-03	2.289999999999998634e-03	1.116999999999999937e-02	1.145000000000000011e-02	9.089999999999999122e-03	6.800000000000000488e-03	1.919999999999999832e-02	1.947999999999999732e-02	1.711999999999999633e-02	1.482999999999999943e-02	8.029999999999998944e-03
1.386885964000000058e+04	-7.999999999999847511e-05	2.320000000000000881e-03	2.399999999999999356e-03	4.350000000000001435e-03	4.429999999999999910e-03	2.030000000000000554e-03	1.142999999999999919e-02	1.150999999999999766e-02	9.109999999999998307e-03	7.079999999999997753e-03	1.883999999999999911e-02	1.891999999999999932e-02	1.651999999999999996e-02	1.448999999999999767e-02	7.409999999999999920e-03
1.386399301999999989e+04	7.000000000000061728e-05	2.610000000000001208e-03	2.540000000000000591e-03	4.300000000000000003e-03	4.229999999999999385e-03	1.689999999999998795e-03	1.172999999999999911e-02	1.165999999999999849e-02	9.119999999999997900e-03	7.429999999999999105e-03	1.861000000000000154e-02	1.854000000000000092e-02	1.600000000000000033e-02	1.430999999999999980e-02	6.880000000000000698e-03
1.385912996000000021e+04	1.700000000000000122e-04	2.920000000000000720e-03	2.750000000000000708e-03	4.219999999999999793e-03	4.049999999999999781e-03	1.299999999999999073e-03	1.202000000000000117e-02	1.185000000000000116e-02	9.100000000000000450e-03	7.800000000000001377e-03	1.848999999999999949e-02	1.832000000000000295e-02	1.557000000000000051e-02	1.427000000000000143e-02	6.470000000000000057e-03
1.385427047999999922e+04	1.900000000000009320e-04	3.190000000000000127e-03	2.999999999999999195e-03	4.089999999999999886e-03	3.899999999999998954e-03	8.999999999999997585e-04	1.222000000000000169e-02	1.203000000000000076e-02	9.030000000000001567e-03	8.130000000000001809e-03	1.842999999999999847e-02	1.823999999999999927e-02	1.523999999999999834e-02	1.433999999999999858e-02	6.209999999999996773e-03
1.384941455999999926e+04	1.700000000000000122e-04	3.390000000000000652e-03	3.220000000000000639e-03	3.919999999999999873e-03	3.749999999999999861e-03	5.299999999999992217e-04	1.233000000000000068e-02	1.216000000000000067e-02	8.940000000000000030e-03	8.410000000000000808e-03	1.843000000000000194e-02	1.826000000000000192e-02	1.504000000000000128e-02	1.451000000000000206e-02	6.100000000000001255e-03
1.384456220000000030e+04	1.200000000000003147e-04	3.509999999999999232e-03	3.389999999999998917e-03	3.689999999999998836e-03	3.569999999999998522e-03	1.799999999999996048e-04	1.232000000000000109e-02	1.220000000000000077e-02	8.810000000000001857e-03	8.630000000000002253e-03	1.847999999999999990e-02	1.836000000000000132e-02	1.497000000000000067e-02	1.479000000000000106e-02	6.159999999999998810e-03
1.383971340000000055e+04	3.000000000000051237e-05	3.540000000000001479e-03	3.510000000000000966e-03	3.409999999999999837e-03	3.379999999999999324e-03	-1.300000000000016420e-04	1.219999999999999904e-02	1.216999999999999853e-02	8.659999999999997561e-03	8.789999999999999203e-03	1.861000000000000154e-02	1.857999999999999929e-02	1.507000000000000006e-02	1.520000000000000170e-02	6.410000000000002501e-03
1.383486815999999999e+04	-8.000000000000020983e-05	3.490000000000000047e-03	3.570000000000000256e-03	3.069999999999999812e-03	3.150000000000000022e-03	-4.200000000000002343e-04	1.197000000000000147e-02	1.205000000000000168e-02	8.480000000000001426e-03	8.900000000000001660e-03	1.883999999999999911e-02	1.891999999999999932e-02	1.534999999999999906e-02	1.576999999999999930e-02	6.869999999999997636e-03
1.383002645999999913e+04	-1.799999999999996048e-04	3.400000000000000244e-03	3.579999999999999849e-03	2.699999999999999276e-03	2.879999999999998880e-03	-7.000000000000009687e-04	1.167999999999999941e-02	1.185999999999999902e-02	8.279999999999999166e-03	8.980000000000000135e-03	1.921000000000000138e-02	1.939000000000000098e-02	1.581000000000000114e-02	1.651000000000000384e-02	7.530000000000001970e-03
1.382518829999999980e+04	-2.699999999999994071e-04	3.310000000000000442e-03	3.579999999999999849e-03	2.349999999999999659e-03	2.619999999999999066e-03	-9.600000000000007833e-04	1.135999999999999857e-02	1.162999999999999798e-02	8.049999999999998129e-03	9.009999999999998913e-03	1.973000000000000101e-02	2.000000000000000042e-02	1.642000000000000057e-02	1.737999999999999962e-02	8.370000000000002438e-03
1.382035368999999992e+04	-3.500000000000013517e-04	3.249999999999999417e-03	3.600000000000000769e-03	2.040000000000000147e-03	2.390000000000001498e-03	-1.209999999999999271e-03	1.102999999999999987e-02	1.138000000000000123e-02	7.780000000000000457e-03	8.989999999999999727e-03	2.036999999999999922e-02	2.072000000000000230e-02	1.712000000000000327e-02	1.832999999999999907e-02	9.340000000000001079e-03
