Wavenumber	Minor Gaussian	Major Gaussian
1.849118206999999893e+04	5.069869824816906033e-03	2.980456842945204687e-02
1.848233227999999872e+04	5.440859479586707299e-03	3.048508318451490992e-02
1.847349123999999938e+04	5.835647835708447119e-03	3.117722634684508970e-02
1.846465894000000117e+04	6.255502325880486249e-03	3.188109695474831279e-02
1.845583536000000095e+04	6.701739892481814974e-03	3.259679333392170864e-02
1.844702049999999872e+04	7.175726143115050519e-03	3.332441060909707709e-02
1.843821433999999863e+04	7.678877952968100884e-03	3.406404388629765551e-02
1.842941686000000118e+04	8.212663050306674012e-03	3.481578661175641076e-02
1.842062805999999910e+04	8.778599106207332636e-03	3.557972875720644135e-02
1.841184792000000016e+04	9.378256465548196960e-03	3.635596017533881258e-02
1.840307643000000098e+04	1.001325650614549694e-02	3.714456796633187896e-02
1.839431356999999844e+04	1.068527309850117110e-02	3.794563818392328314e-02
1.838555933999999979e+04	1.139603029332736904e-02	3.875925303788470277e-02
1.837681371999999828e+04	1.214730523060592211e-02	3.958549448822649280e-02
1.836807669000000169e+04	1.294092645818570482e-02	4.042444240068197858e-02
1.835934824999999910e+04	1.377877154528500681e-02	4.127617251811538379e-02
1.835062839000000167e+04	1.466276909779114235e-02	4.214075923996618567e-02
1.834191707999999926e+04	1.559489938602057549e-02	4.301827665368917336e-02
1.833321431999999913e+04	1.657718825523737949e-02	4.390879347646958752e-02
1.832452009000000180e+04	1.761171128639086453e-02	4.481237799128180016e-02
1.831583438999999998e+04	1.870058804522630944e-02	4.572909389241797129e-02
1.830715720000000147e+04	1.984598544059033853e-02	4.665900438210369289e-02
1.829848849999999948e+04	2.105011396297101767e-02	4.760217008058788279e-02
1.828982829000000129e+04	2.231522293926416906e-02	4.855864674178458906e-02
1.828117655000000013e+04	2.364360412644074191e-02	4.952848954611080434e-02
1.827253326999999990e+04	2.503758534865613630e-02	5.051174976949440731e-02
1.826389843000000110e+04	2.649953121986397056e-02	5.150847696754907307e-02
