Wavenumber	896.7896389624932-30C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-20C	896.7896389624932-40C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-20C	896.7896389624932-50C-896.7896389624932-30C	896.7896389624932-50C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-20C	896.7896389624932-60C-896.7896389624932-30C	896.7896389624932-60C-896.7896389624932-40C	896.7896389624932-60C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-20C	896.7896389624932-70C-896.7896389624932-30C	896.7896389624932-70C-896.7896389624932-40C	896.7896389624932-70C-896.7896389624932-50C	896.7896389624932-70C-896.7896389624932-60C
1.975176314999999886e+04	3.914530019733772391e-05	1.229665215414462213e-04	8.382122134410849735e-05	1.710544181245727993e-04	1.319091179272350754e-04	4.808789658312657804e-05	5.712294786558209546e-04	5.320841784584831764e-04	4.482629571143747333e-04	4.001750605312481552e-04	1.669646888791512501e-03	1.630501588594174831e-03	1.546680367250066442e-03	1.498592470666939864e-03	1.098417410135691654e-03
1.974162266000000091e+04	4.067446481434444129e-05	1.276605714997198159e-04	8.698610668537537461e-05	1.775071153201990617e-04	1.368326505058546205e-04	4.984654382047924584e-05	5.911999125170739906e-04	5.505254477027295493e-04	4.635393410173541747e-04	4.136927971968749288e-04	1.721125175246178461e-03	1.680450710431834020e-03	1.593464603746458591e-03	1.543618059925979400e-03	1.129925262729104471e-03
1.973149290000000110e+04	4.225479042780711566e-05	1.325074613644154999e-04	9.025267093660838428e-05	1.841670144145651907e-04	1.419122239867580751e-04	5.165955305014969081e-05	6.117571928921486423e-04	5.695024024643415266e-04	4.792497315277331423e-04	4.275901784775834515e-04	1.773910094072411389e-03	1.731655303644604382e-03	1.641402632707995943e-03	1.589743079657846307e-03	1.162152901180262855e-03
1.972137385999999969e+04	4.388763030910080654e-05	1.375110880469902633e-04	9.362345773788945677e-05	1.910393005648547957e-04	1.471516702557539892e-04	5.352821251786453243e-05	6.329143278234127760e-04	5.890266975143119152e-04	4.954032397764224042e-04	4.418750272585579260e-04	1.828025170679166596e-03	1.784137540370065843e-03	1.690514082632176441e-03	1.636985870114311854e-03	1.195110842855754037e-03
1.971126551000000109e+04	4.557436322892555571e-05	1.426754177459805335e-04	9.710105451705497784e-05	1.981292485389525614e-04	1.525548853100270057e-04	5.545383079297202785e-05	6.546845092432715700e-04	6.091101460143459601e-04	5.120090914972909822e-04	4.565552607043190086e-04	1.883494156837872864e-03	1.837919793608947146e-03	1.740818739091892168e-03	1.685364908298920194e-03	1.228809647594601186e-03
1.970116785000000164e+04	4.731638513885743020e-05	1.480044603148493085e-04	1.006880751759918783e-04	2.054421874538175127e-04	1.581258023149600825e-04	5.743772713896820419e-05	6.770810034429819609e-04	6.297646183041244764e-04	5.290765431281325981e-04	4.716388159891643939e-04	1.940340750227832149e-03	1.893024365088974773e-03	1.792336289912982786e-03	1.734898562774014582e-03	1.263259746784850188e-03
1.969108084999999846e+04	4.911511905737156632e-05	1.535022993781766766e-04	1.043871803208051103e-04	2.129835420602031780e-04	1.638684230028316117e-04	5.948124268202650139e-05	7.001172767401409947e-04	6.510021576827694284e-04	5.466149773619643180e-04	4.871337346799378167e-04	1.998588913892148950e-03	1.949473794834777167e-03	1.845086614513972165e-03	1.785605371831945664e-03	1.298471637152007847e-03
1.968100449999999910e+04	5.097200643833802109e-05	1.591730657651495404e-04	1.082010593268115193e-04	2.207587962223429303e-04	1.697867897840049092e-04	6.158573045719338990e-05	7.238068824223025614e-04	6.728348759839645945e-04	5.646338166571530752e-04	5.030480861999596853e-04	2.058262588163438898e-03	2.007290581725100498e-03	1.899089522398289195e-03	1.837503791941095914e-03	1.334455705741136120e-03
1.967093878000000041e+04	5.288851221529498534e-05	1.650209527876435301e-04	1.121324405723485448e-04	2.287735138305987156e-04	1.758850016153037303e-04	6.375256104295518554e-05	7.481635237144492346e-04	6.952750114991542493e-04	5.831425709268057587e-04	5.193900098838505732e-04	2.119385849914859950e-03	2.066497337699564965e-03	1.954364897127216366e-03	1.890612336084260964e-03	1.371222326200410499e-03
1.966088366999999926e+04	5.486612293144137956e-05	1.710502103667404768e-04	1.161840874352990972e-04	2.370333306931270622e-04	1.821672077616856827e-04	6.598312032638658543e-05	7.732010278869091979e-04	7.183349049554678184e-04	6.021508175201687211e-04	5.361676971937821357e-04	2.181982846400218421e-03	2.127116723468777150e-03	2.010932636033478053e-03	1.944949515707091250e-03	1.408781818513309223e-03
1.965083915999999954e+04	5.690634448678893488e-05	1.772651380197962393e-04	1.203587935330073045e-04	2.455439448909623248e-04	1.886376004041733900e-04	6.827880687116608550e-05	7.989333160773348132e-04	7.420269715905458783e-04	6.216681780575385738e-04	5.533893711863724883e-04	2.246077719819073240e-03	2.189171375332284522e-03	2.068812581799276892e-03	2.000533774928110915e-03	1.447144403741738427e-03
1.964080523000000176e+04	5.901070586156165719e-05	1.836700960605539695e-04	1.246593901989923123e-04	2.543111320853195818e-04	1.953004262237579246e-04	7.064103602476561224e-05	8.253744486822931718e-04	7.663637428207315146e-04	6.417043526217392022e-04	5.710633165969735900e-04	2.311694720636465420e-03	2.252684014774903980e-03	2.128024624575911451e-03	2.057383588551145621e-03	1.486320271954172248e-03
1.963078186999999889e+04	6.118075482551798812e-05	1.902694923766113972e-04	1.290887375510934090e-04	2.633407273806640382e-04	2.021599725551460501e-04	7.307123500405264104e-05	8.525385695261793791e-04	7.913578147006613368e-04	6.622690771495679278e-04	5.891978421455152867e-04	2.378858068472484814e-03	2.317677313646967097e-03	2.188588576095873688e-03	2.115517341091820939e-03	1.526319498946305652e-03
1.962076904999999897e+04	6.341806416443877175e-05	1.970678012115185062e-04	1.336497370470797344e-04	2.726386509994321102e-04	2.092205868349933384e-04	7.557084978791360399e-05	8.804399821180396764e-04	8.170219179536008505e-04	6.833721809065211161e-04	6.078013311186075121e-04	2.447592140720233379e-03	2.384174076555794879e-03	2.250524339508714819e-03	2.174953489720801540e-03	1.567152158602193920e-03
1.961076675999999861e+04	6.572422277295266900e-05	2.040695359186957335e-04	1.383453131457430645e-04	2.822108709839010201e-04	2.164866482109483511e-04	7.814133506520528662e-05	9.090930364389474862e-04	8.433688136659948714e-04	7.050235005202518069e-04	6.268821654550465203e-04	2.517921192704784643e-03	2.452196969931831703e-03	2.313851656786088638e-03	2.235710321720883569e-03	1.608828156265836940e-03
1.960077497999999832e+04	6.810084192693992376e-05	2.112792678725592928e-04	1.431784259456193691e-04	2.920634290575591877e-04	2.239625871306192640e-04	8.078416118499989491e-05	9.385122056998660648e-04	8.704113637729261410e-04	7.272329378273067720e-04	6.464487766423068771e-04	2.589869547528623420e-03	2.521768705601683605e-03	2.378590279656064236e-03	2.297806118471064016e-03	1.651357341828757356e-03
