wavenumber	20ºC	30°C	40°C	50°C	60°C	70°C
18289,82829	0,06083	0,06152	0,07037	0,07215	0,08601	0,10433
18281,17655	0,0631	0,064	0,0729	0,0749	0,0889	0,10581
18272,53327	0,0654	0,06659	0,07546	0,07773	0,09186	0,10744
18263,89843	0,06771	0,06926	0,07801	0,08059	0,09482	0,10936
18255,27204	0,07007	0,07197	0,08056	0,08343	0,09769	0,11168
18246,65406	0,07248	0,07471	0,0831	0,08624	0,10042	0,11446
18238,0445	0,07497	0,07747	0,08567	0,08902	0,10301	0,11767
18229,44333	0,07757	0,08024	0,08828	0,09179	0,10548	0,12125
18220,85055	0,08028	0,08305	0,09099	0,0946	0,1079	0,12505
18212,26614	0,08311	0,0859	0,09382	0,09746	0,11034	0,12888
18203,69009	0,08605	0,08883	0,09678	0,10039	0,11289	0,13255
18195,1224	0,08911	0,09185	0,09989	0,10341	0,11563	0,13589
18186,56304	0,09225	0,09498	0,10312	0,10651	0,11859	0,1388
18178,012	0,09548	0,09823	0,10646	0,10969	0,12179	0,14126
18169,46928	0,09879	0,10162	0,10989	0,11296	0,12522	0,14334
18160,93485	0,10217	0,10515	0,11339	0,11632	0,12884	0,1452
18152,40872	0,10564	0,10879	0,11695	0,11978	0,1326	0,14704
18143,89086	0,10919	0,11256	0,12057	0,12336	0,13647	0,14911
18135,38127	0,11284	0,11641	0,12426	0,12709	0,14042	0,15162
18126,87993	0,11661	0,12034	0,12806	0,13097	0,14444	0,15472
18118,38683	0,12051	0,12432	0,13196	0,13501	0,14854	0,1585
18109,90195	0,12455	0,12835	0,13601	0,13923	0,15274	0,16294
18101,4253	0,12875	0,13243	0,14021	0,14361	0,15705	0,16798
18092,95685	0,13312	0,13655	0,14457	0,14812	0,16151	0,17346
18084,49659	0,13767	0,14075	0,14909	0,15276	0,16611	0,17923
18076,04451	0,14239	0,14506	0,1538	0,1575	0,17086	0,1851
18067,6006	0,1473	0,14951	0,15869	0,16231	0,17577	0,19096
18059,16485	0,1524	0,15415	0,16376	0,16718	0,18084	0,1967
18050,73724	0,15768	0,15901	0,16902	0,17211	0,18607	0,20228
18042,31777	0,16312	0,16412	0,17449	0,17709	0,19146	0,2077
18033,90642	0,16873	0,16948	0,18014	0,18216	0,19702	0,21298
18025,50317	0,1745	0,1751	0,18596	0,18732	0,20274	0,21816
18017,10803	0,1804	0,18095	0,19194	0,19264	0,2086	0,22328
18008,72097	0,18644	0,18701	0,19803	0,19815	0,2146	0,22839
18000,34199	0,19261	0,19323	0,2042	0,20388	0,22069	0,23351
17991,97107	0,19892	0,19957	0,21042	0,20988	0,22685	0,2387
17983,60821	0,20535	0,20601	0,21666	0,21615	0,23305	0,24399
17975,25338	0,21192	0,21253	0,22294	0,22269	0,23929	0,24942
17966,90658	0,21863	0,21912	0,22927	0,22945	0,24555	0,25507
17958,5678	0,22548	0,2258	0,23569	0,23638	0,25187	0,26099
17950,23702	0,23248	0,23257	0,24227	0,24342	0,25829	0,26722
17941,91424	0,23962	0,23948	0,24906	0,2505	0,26486	0,2738
17933,59944	0,24692	0,24654	0,25612	0,25758	0,27164	0,28071
17925,29261	0,25438	0,25377	0,26349	0,26463	0,27868	0,28791
17916,99374	0,26202	0,26118	0,27117	0,27165	0,28602	0,29533
17908,70282	0,26984	0,26879	0,27915	0,27867	0,29367	0,30288
17900,41983	0,27787	0,27657	0,2874	0,28575	0,30162	0,31046
17892,14477	0,28614	0,28452	0,29586	0,29294	0,30984	0,31801
17883,87763	0,29464	0,29263	0,30449	0,30033	0,31828	0,32548
17875,61838	0,30341	0,3009	0,31322	0,30794	0,32687	0,33288
17867,36703	0,31244	0,30934	0,32203	0,31582	0,33552	0,34026
17859,12356	0,32171	0,31796	0,33088	0,32396	0,34417	0,34771
17850,88795	0,3312	0,32678	0,33979	0,33236	0,35275	0,35533
17842,66021	0,34089	0,33582	0,34875	0,34098	0,36123	0,36321
17834,4403	0,35074	0,34509	0,3578	0,3498	0,3696	0,37144
17826,22824	0,36071	0,35459	0,36696	0,3588	0,3779	0,38004
17818,024	0,3708	0,36432	0,37625	0,36795	0,38619	0,38901
17809,82757	0,381	0,37423	0,38568	0,37726	0,39458	0,39827
17801,63894	0,39131	0,38431	0,39526	0,38674	0,40315	0,40774
17793,4581	0,40175	0,39451	0,40499	0,39639	0,41201	0,41728
17785,28504	0,41235	0,40479	0,41486	0,40621	0,42121	0,42679
17777,11975	0,42313	0,41515	0,42483	0,41619	0,43076	0,43616
17768,96222	0,43409	0,42557	0,43491	0,42633	0,44061	0,44535
17760,81244	0,4452	0,43606	0,44507	0,43658	0,45065	0,45433
17752,67038	0,45645	0,44666	0,4553	0,44692	0,46077	0,46315
17744,53606	0,46777	0,4574	0,46561	0,45733	0,47083	0,47189
17736,40944	0,47911	0,46829	0,476	0,46779	0,48073	0,48067
17728,29053	0,49044	0,47937	0,48649	0,47831	0,49044	0,48961
17720,17931	0,50174	0,49064	0,49709	0,48889	0,49999	0,49884
17712,07576	0,51302	0,50209	0,50783	0,49956	0,50948	0,50844
17703,97989	0,52433	0,51368	0,51873	0,51034	0,51903	0,51846
17695,89168	0,53573	0,52539	0,52979	0,52124	0,52881	0,5289
17687,81111	0,54731	0,53715	0,54101	0,53227	0,53893	0,5397
17679,73818	0,55913	0,54893	0,55237	0,5434	0,54946	0,55076
17671,67288	0,57122	0,56068	0,56383	0,55462	0,56039	0,56196
17663,61519	0,58358	0,5724	0,57535	0,56589	0,5716	0,57316
17655,56511	0,59614	0,58406	0,58686	0,57718	0,58295	0,58423
17647,52262	0,60882	0,59567	0,59834	0,58846	0,59427	0,59509
17639,48771	0,62149	0,60725	0,60976	0,59974	0,6054	0,60567
17631,46038	0,63403	0,6188	0,6211	0,61101	0,61624	0,61598
17623,4406	0,64636	0,63037	0,63239	0,62232	0,62678	0,62603
17615,42838	0,65843	0,64196	0,64366	0,63367	0,63705	0,6359
17607,4237	0,67025	0,65359	0,65496	0,6451	0,64716	0,64566
17599,42655	0,68187	0,66525	0,66633	0,6566	0,65724	0,6554
17591,43691	0,6934	0,67695	0,67777	0,66815	0,66737	0,66517
17583,45479	0,70491	0,68864	0,68927	0,6797	0,6776	0,67502
17575,48016	0,71649	0,70031	0,70079	0,69117	0,68793	0,68497
