Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.957086258000000089e+04	1.808375073913357509e-03	2.284913024118106345e-03	4.765379502047490529e-04	3.146638828625640538e-03	1.338263754712283246e-03	8.617258045075341932e-04
1.956091269000000102e+04	1.862322043596214768e-03	2.351224577736748915e-03	4.889025341405341465e-04	3.235698912336152332e-03	1.373376868739937563e-03	8.844743345994034167e-04
1.955097323999999935e+04	1.917572647202684223e-03	2.419079539379799700e-03	5.015068921771156929e-04	3.326766894023490753e-03	1.409194246820806747e-03	9.076873546436910536e-04
1.954104420000000027e+04	1.974148574196451893e-03	2.488501845587211964e-03	5.143532713907605046e-04	3.419872235872709401e-03	1.445723661676257942e-03	9.313703902854974376e-04
1.953112556000000041e+04	2.032071469957930955e-03	2.559515314625313703e-03	5.274438446673827482e-04	3.515044190859589572e-03	1.482972720901658617e-03	9.555288762342758688e-04
1.952121730000000025e+04	2.091363094524677745e-03	2.632143841163858168e-03	5.407807466391804235e-04	3.612312064162083967e-03	1.520948969637406223e-03	9.801682229982257993e-04
1.951131941000000006e+04	2.152045196768926673e-03	2.706411241801945367e-03	5.543660450330186937e-04	3.711705006311268387e-03	1.559659809542341714e-03	1.005293764509323021e-03
1.950143187000000034e+04	2.214139624910514345e-03	2.782341390245009725e-03	5.682017653344953803e-04	3.813252194400026072e-03	1.599112569489511727e-03	1.030910804155016347e-03
1.949155466000000160e+04	2.277668259564448981e-03	2.859958135032867818e-03	5.822898754684188369e-04	3.916982721971257360e-03	1.639314462406808379e-03	1.057024586938389542e-03
1.948168777000000046e+04	2.342652937644474406e-03	2.939285206514606012e-03	5.966322688701316060e-04	4.022925474953021469e-03	1.680272537308546629e-03	1.083640268438415023e-03
1.947183118000000104e+04	2.409115571266519634e-03	3.020346362012222858e-03	6.112307907457032244e-04	4.131109325820952680e-03	1.721993754554432612e-03	1.110762963808729388e-03
1.946198487999999998e+04	2.477078006058204898e-03	3.103165212787389882e-03	6.260872067291849835e-04	4.241562902662940858e-03	1.764484896604735960e-03	1.138397689875550976e-03
1.945214884000000166e+04	2.546562217403365320e-03	3.187765463154449645e-03	6.412032457510843247e-04	4.354314908227966546e-03	1.807752690824601660e-03	1.166549445073517335e-03
1.944232305999999880e+04	2.617589951034154233e-03	3.274170472674090698e-03	6.565805216399364652e-04	4.469393536337460011e-03	1.851803585303305778e-03	1.195223063663369313e-03
