peakcenter	17289.8119463758-20°C	17277.150453038626-40°C	17271.260566842393-45°C	17262.46575968384-50°C
1.886172218000000066e+04	1.680885661244339163e-02	1.969836750628696509e-02	1.970296437105990145e-02	2.035456031055405540e-02
1.885250207999999839e+04	1.724824026501638186e-02	2.019579430689993904e-02	2.019993309366939840e-02	2.086379396528170380e-02
1.884329130000000077e+04	1.769736806606587304e-02	2.070359389314161552e-02	2.070721832551603719e-02	2.138342261368689906e-02
1.883408980000000156e+04	1.815645124360210083e-02	2.122196369168117061e-02	2.122501266458381303e-02	2.191363131428176320e-02
1.882489758000000074e+04	1.862570710461646656e-02	2.175110568970738817e-02	2.175351291591105449e-02	2.245460868315819064e-02
1.881571462999999858e+04	1.910536198660516341e-02	2.229122964221856226e-02	2.229292327490538239e-02	2.300655011118795529e-02
1.880654091999999946e+04	1.959565243014906033e-02	2.284255425208731732e-02	2.284345648395740697e-02	2.356965890061230376e-02
1.879737644999999975e+04	2.009682314518079771e-02	2.340530474031825986e-02	2.340533138378101535e-02	2.414414371253459368e-02
1.878822120999999970e+04	2.060912972886690120e-02	2.397971575971281563e-02	2.397877580028102973e-02	2.473022147166818382e-02
1.877907517000000007e+04	2.113283998343497630e-02	2.456603271583588169e-02	2.456402783926231806e-02	2.532811863724546142e-02
1.876993832000000111e+04	2.166823239203170826e-02	2.516450990060771151e-02	2.516133399887525782e-02	2.593806922111764612e-02
1.876081065999999919e+04	2.221559734186296861e-02	2.577541170674240920e-02	2.577095035768254064e-02	2.656031594925455097e-02
1.875169215999999869e+04	2.277524032253013322e-02	2.639901603084764126e-02	2.639314594529008559e-02	2.719511364642191245e-02
1.874258281999999963e+04	2.334747915252672820e-02	2.703561100639794920e-02	2.702819945640876076e-02	2.784272582484966993e-02
1.873348260999999911e+04	2.393264852759049294e-02	2.768549989539995093e-02	2.767640410522680117e-02	2.850342957806270214e-02
1.872439153000000078e+04	2.453109715388804291e-02	2.834899771903251833e-02	2.833806423772661578e-02	2.917751206623062782e-02
1.871530956000000151e+04	2.514319186884273263e-02	2.902643565299539360e-02	2.901349968920743580e-02	2.986527489738827201e-02
1.870623669000000154e+04	2.576931668583423013e-02	2.971815977784899102e-02	2.970304451093536482e-02	3.056703276714337059e-02
1.869717291000000114e+04	2.640987444976204343e-02	3.042453272400644226e-02	3.040704858376528860e-02	3.128311503974005175e-02
1.868811819000000105e+04	2.706528936144794381e-02	3.114593626014701064e-02	3.112588017083123271e-02	3.201386828012492414e-02
1.867907253000000128e+04	2.773600450249575147e-02	3.188276837181493184e-02	3.185992297977776472e-02	3.275965320269769165e-02
1.867003591999999844e+04	2.842248578178310087e-02	3.263544741584810394e-02	3.260958027705759821e-02	3.352084879179922927e-02
1.866100833000000057e+04	2.912522398757318165e-02	3.340441416486766846e-02	3.337527689761482508e-02	3.429785427552121957e-02
1.865198976000000039e+04	2.984473215693860329e-02	3.419012872849013646e-02	3.415745615388419976e-02	3.509108592420645545e-02
1.864298020000000179e+04	3.058154984246064592e-02	3.499307503256997992e-02	3.495658427281436026e-02	3.590098149208269251e-02
1.863397961999999825e+04	3.133624534082892626e-02	3.581376304210305561e-02	3.577315258390061786e-02	3.672800236917355549e-02
1.862498802000000069e+04	3.210941286952704449e-02	3.665272549341870578e-02	3.660767424541936516e-02	3.757263020313229840e-02
1.861600537999999869e+04	3.290167805473977192e-02	3.751052367342342514e-02	3.746068997454479049e-02	3.843537264389141478e-02
1.860703168999999980e+04	3.371369677916972313e-02	3.838774597479967937e-02	3.833276659047334806e-02	3.931676180915374269e-02
1.859806694000000061e+04	3.454615740839006577e-02	3.928501012620514571e-02	3.922449921552615543e-02	4.021735645597650233e-02
1.858911111000000164e+04	3.539978317770165611e-02	4.020296558474199811e-02	4.013651363750077999e-02	4.113774431277743976e-02
1.858016417999999976e+04	3.627533277085857877e-02	4.114229397887254891e-02	4.106946673585012975e-02	4.207854245681272309e-02
1.857122615999999834e+04	3.717359873109300772e-02	4.210370725034540129e-02	4.202404462735069568e-02	4.304039540123245217e-02
1.856229702000000179e+04	3.809541584751362925e-02	4.308795648583770010e-02	4.300097142892621987e-02	4.402398388581503508e-02
1.855337673999999970e+04	3.904165781452906964e-02	4.409582817116759063e-02	4.400100553063013287e-02	4.503002107542204008e-02
1.854446532999999908e+04	4.001323637412874945e-02	4.512814316110869139e-02	4.502493857471111943e-02	4.605925150584041367e-02
1.853556275000000096e+04	4.101111143306993001e-02	4.618576731128261337e-02	4.607360600413956675e-02	4.711246166084982756e-02
1.852666901000000144e+04	4.203628163408899832e-02	4.726960134237909866e-02	4.714787701408807569e-02	4.819046984734632472e-02
1.851778408000000127e+04	4.308979583799479179e-02	4.838059291085456542e-02	4.824866652998646005e-02	4.929413820875910152e-02
1.850890796000000046e+04	4.417274657917417274e-02	4.951972959144551600e-02	4.937692826368712817e-02	5.042436574235650143e-02
1.850004061999999976e+04	4.528627861214421652e-02	5.068804781196061676e-02	5.053366358298859440e-02	5.158209718593111115e-02
1.849118206999999893e+04	4.643158167166572259e-02	5.188662518546091618e-02	5.171991393971479833e-02	5.276831543727172891e-02
1.848233227999999872e+04	4.760990187796654283e-02	5.311659243137725750e-02	5.293677269863115986e-02	5.398405340218974391e-02
1.847349123999999938e+04	4.882253547823291878e-02	5.437912678118499155e-02	5.418537863933828302e-02	5.523038750769908994e-02
1.846465894000000117e+04	5.007083257656139152e-02	5.567545587947745483e-02	5.546691985414396037e-02	5.650844162751313821e-02
1.845583536000000095e+04	5.135619980637534665e-02	5.700686056630339255e-02	5.678263653939219502e-02	5.781938989902078718e-02
1.844702049999999872e+04	5.268009710927622907e-02	5.837467157053980588e-02	5.813381777432808512e-02	5.916445355722788069e-02
