Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.680688168999999834e+04	4.098999999999997090e-02	4.925999999999997048e-02	8.269999999999999574e-03	5.896999999999996689e-02	1.797999999999999599e-02	9.709999999999996412e-03
1.679961972999999853e+04	4.145999999999994134e-02	4.993000000000002991e-02	8.470000000000088569e-03	5.987999999999993328e-02	1.841999999999999194e-02	9.949999999999903366e-03
1.679236426999999821e+04	4.205999999999998629e-02	5.066000000000003833e-02	8.600000000000052047e-03	6.088999999999999968e-02	1.883000000000001339e-02	1.022999999999996135e-02
1.678511530000000130e+04	4.278999999999999471e-02	5.135999999999996124e-02	8.569999999999966533e-03	6.193000000000004057e-02	1.914000000000004587e-02	1.057000000000007933e-02
1.677787283000000025e+04	4.364999999999996660e-02	5.196999999999996067e-02	8.319999999999994067e-03	6.295999999999990493e-02	1.930999999999993832e-02	1.098999999999994426e-02
1.677063683999999921e+04	4.454999999999997851e-02	5.236999999999991662e-02	7.819999999999938112e-03	6.389999999999995683e-02	1.934999999999997833e-02	1.153000000000004022e-02
1.676340731999999844e+04	4.543000000000008143e-02	5.249999999999999112e-02	7.069999999999909690e-03	6.468000000000007077e-02	1.924999999999998934e-02	1.218000000000007965e-02
1.675618426000000181e+04	4.617999999999999883e-02	5.235999999999996213e-02	6.179999999999963300e-03	6.525999999999998469e-02	1.907999999999998586e-02	1.290000000000002256e-02
1.674896765999999843e+04	4.672000000000009479e-02	5.203000000000002068e-02	5.309999999999925890e-03	6.563000000000007716e-02	1.890999999999998238e-02	1.360000000000005649e-02
1.674175750999999946e+04	4.700999999999999623e-02	5.166000000000003922e-02	4.650000000000042988e-03	6.579000000000001513e-02	1.878000000000001890e-02	1.412999999999997591e-02
1.673455380000000150e+04	4.705000000000003624e-02	5.143000000000008676e-02	4.380000000000050520e-03	6.580000000000008065e-02	1.875000000000004441e-02	1.436999999999999389e-02
1.672735651000000144e+04	4.688000000000003276e-02	5.150000000000010125e-02	4.620000000000068496e-03	6.573000000000006615e-02	1.885000000000003340e-02	1.422999999999996490e-02
1.672016563999999926e+04	4.659000000000002029e-02	5.193999999999998618e-02	5.349999999999965894e-03	6.564000000000003165e-02	1.905000000000001137e-02	1.370000000000004547e-02
1.671298118999999861e+04	4.625999999999996781e-02	5.274000000000000909e-02	6.480000000000041283e-03	6.559000000000003716e-02	1.933000000000006935e-02	1.285000000000002807e-02
1.670580313999999998e+04	4.598000000000002085e-02	5.379000000000000448e-02	7.809999999999983622e-03	6.562000000000001165e-02	1.963999999999999080e-02	1.183000000000000718e-02
1.669863148999999976e+04	4.578000000000004288e-02	5.486999999999997435e-02	9.089999999999931468e-03	6.569999999999998064e-02	1.991999999999993776e-02	1.083000000000000629e-02
1.669146621999999843e+04	4.569000000000000838e-02	5.572999999999994625e-02	1.003999999999993786e-02	6.579999999999996962e-02	2.010999999999996124e-02	1.007000000000002338e-02
1.668430732999999964e+04	4.566000000000003389e-02	5.615999999999998771e-02	1.049999999999995381e-02	6.584000000000000963e-02	2.017999999999997573e-02	9.680000000000021920e-03
1.667715481000000000e+04	4.564999999999996838e-02	5.601999999999995872e-02	1.036999999999999034e-02	6.578000000000006064e-02	2.013000000000009226e-02	9.760000000000101927e-03
1.667000864999999976e+04	4.557999999999995389e-02	5.530999999999997030e-02	9.730000000000016414e-03	6.557999999999997165e-02	2.000000000000001776e-02	1.027000000000000135e-02
1.666286883999999918e+04	4.539999999999999591e-02	5.413000000000001144e-02	8.730000000000015525e-03	6.523000000000001020e-02	1.983000000000001428e-02	1.109999999999999876e-02
1.665573537999999826e+04	4.510999999999998344e-02	5.271999999999998909e-02	7.610000000000005649e-03	6.477999999999994873e-02	1.966999999999996529e-02	1.205999999999995964e-02
1.664860825000000114e+04	4.471999999999998199e-02	5.135999999999996124e-02	6.639999999999979252e-03	6.432000000000004380e-02	1.960000000000006182e-02	1.296000000000008257e-02
1.664148745000000054e+04	4.430000000000000604e-02	5.031000000000007688e-02	6.010000000000070841e-03	6.393999999999999684e-02	1.963999999999999080e-02	1.362999999999991996e-02
1.663437297000000035e+04	4.391000000000000458e-02	4.976999999999998092e-02	5.859999999999976339e-03	6.375999999999992784e-02	1.984999999999992326e-02	1.398999999999994692e-02
1.662726480000000083e+04	4.364000000000001211e-02	4.981000000000002093e-02	6.170000000000008811e-03	6.384000000000000785e-02	2.019999999999999574e-02	1.402999999999998693e-02
1.662016292999999860e+04	4.352000000000000313e-02	5.035000000000000586e-02	6.830000000000002736e-03	6.418000000000001481e-02	2.066000000000001169e-02	1.383000000000000895e-02
1.661306735000000117e+04	4.355999999999998762e-02	5.119999999999996776e-02	7.639999999999980140e-03	6.473000000000000975e-02	2.117000000000002213e-02	1.353000000000004199e-02
1.660597806000000128e+04	4.373000000000004661e-02	5.213000000000000966e-02	8.399999999999963052e-03	6.542000000000003368e-02	2.168999999999998707e-02	1.329000000000002402e-02
1.659889504999999917e+04	4.395999999999994357e-02	5.287000000000002808e-02	8.910000000000084519e-03	6.609999999999999210e-02	2.214000000000004853e-02	1.322999999999996401e-02
1.659181829999999900e+04	4.416999999999998705e-02	5.322999999999994403e-02	9.059999999999956977e-03	6.663999999999997703e-02	2.246999999999998998e-02	1.341000000000003300e-02
1.658474782000000050e+04	4.429999999999995053e-02	5.314000000000002055e-02	8.840000000000070024e-03	6.695999999999996399e-02	2.266000000000001346e-02	1.381999999999994344e-02
