wavenumber	20°C	40°C	45°C	50°C
17818,024	0,40421	0,43175	0,43239	0,42744
17809,82757	0,41439	0,44168	0,44226	0,43715
17801,63894	0,42468	0,45173	0,45219	0,44719
17793,4581	0,43511	0,46188	0,46222	0,45757
17785,28504	0,44571	0,47214	0,4724	0,46827
17777,11975	0,4565	0,48251	0,48278	0,47923
17768,96222	0,46747	0,49299	0,49338	0,49037
17760,81244	0,47863	0,50357	0,50419	0,50158
17752,67038	0,48995	0,51426	0,51521	0,51277
17744,53606	0,50144	0,52505	0,52636	0,52384
17736,40944	0,51309	0,53595	0,53756	0,53472
17728,29053	0,5249	0,54695	0,54873	0,5454
17720,17931	0,53687	0,55804	0,55978	0,55586
17712,07576	0,54901	0,56923	0,57068	0,56614
17703,97989	0,56131	0,58051	0,5814	0,57631
17695,89168	0,57373	0,59186	0,59198	0,58643
17687,81111	0,58623	0,60328	0,60249	0,59658
17679,73818	0,59876	0,61475	0,613	0,60684
17671,67288	0,61126	0,62627	0,62362	0,61727
17663,61519	0,62367	0,63782	0,63439	0,62792
17655,56511	0,63597	0,64937	0,64537	0,63884
17647,52262	0,64815	0,66092	0,65655	0,65003
17639,48771	0,66022	0,67244	0,66789	0,66147
17631,46038	0,67223	0,68392	0,67932	0,67315
17623,4406	0,68423	0,69533	0,69077	0,685
17615,42838	0,69624	0,70667	0,70214	0,69695
17607,4237	0,70829	0,71791	0,71339	0,70892
17599,42655	0,72037	0,72903	0,72447	0,7208
17591,43691	0,73241	0,74003	0,73536	0,73252
17583,45479	0,74433	0,75089	0,74607	0,74397
17575,48016	0,75603	0,7616	0,75659	0,7551
17567,51302	0,76739	0,77215	0,76692	0,76584
17559,55336	0,77832	0,78253	0,77707	0,77618
17551,60116	0,78878	0,79273	0,78702	0,78612
17543,65642	0,79875	0,80276	0,79676	0,79568
17535,71912	0,80828	0,8126	0,80628	0,80493
17527,78926	0,81748	0,82225	0,81559	0,81394
17519,86682	0,82647	0,8317	0,8247	0,8228
17511,9518	0,8354	0,84095	0,83366	0,8316
17504,04418	0,84439	0,85	0,84251	0,84041
17496,14395	0,85354	0,85883	0,85129	0,8493
17488,25111	0,86287	0,86745	0,86002	0,85828
17480,36564	0,87237	0,87584	0,86872	0,86733
17472,48753	0,88195	0,884	0,87736	0,8764
17464,61677	0,89147	0,89193	0,88589	0,88537
17456,75336	0,90079	0,8996	0,89426	0,89414
17448,89727	0,90977	0,90702	0,90237	0,90257
17441,04851	0,91827	0,91418	0,91016	0,91055
17433,20706	0,92623	0,92107	0,91758	0,918
17425,37291	0,93361	0,92768	0,92457	0,92488
17417,54605	0,94044	0,93401	0,93115	0,9312
17409,72646	0,94678	0,94006	0,93732	0,93699
17401,91415	0,9527	0,94582	0,94311	0,94235
17394,1091	0,95827	0,9513	0,94858	0,94736
17386,3113	0,96354	0,95648	0,95375	0,9521
17378,52074	0,96852	0,96136	0,95866	0,95664
17370,73741	0,97321	0,96596	0,96332	0,96102
17362,9613	0,97756	0,97027	0,96774	0,96526
17355,1924	0,98152	0,9743	0,97188	0,96934
17347,4307	0,98504	0,97803	0,97574	0,97324
17339,67619	0,9881	0,98148	0,97929	0,97691
17331,92885	0,9907	0,98463	0,9825	0,98031
17324,18869	0,99286	0,98751	0,98537	0,98342
17316,45569	0,99465	0,99009	0,98792	0,9862
17308,72984	0,99613	0,99238	0,99015	0,98865
17301,01112	0,99735	0,99437	0,99211	0,99076
17293,29954	0,99835	0,99607	0,99383	0,99255
17285,59508	0,99914	0,99747	0,99534	0,99405
17277,89773	0,99971	0,99856	0,99666	0,99529
17270,20748	1	0,99935	0,99779	0,99633
17262,52432	0,99996	0,99983	0,99872	0,99722
17254,84824	0,99954	1	0,99943	0,99799
17247,17923	0,99869	0,99986	0,99986	0,99868
17239,51728	0,99739	0,99942	1	0,99928
17231,86239	0,99566	0,99867	0,99981	0,99975
17224,21453	0,99352	0,99764	0,99928	1
